Number,Gender,Name,City,Birthday
555,female,Justin Lindsay,Elmo,1966-07-22
556,female,Patricia Madison,Greenville,1970-02-06
557,female,Sylvester Hovis,Chicago,1972-04-20
558,male,James Shackelford,Lincoln,1996-11-25
559,male,Steven Park,Riverside,1958-05-02
560,male,Annette Stuckey,Syracuse,1984-06-18
561,male,Sophie Worrell,Santa Monica,1940-10-19
562,female,Kenneth Gentry,Longview,1953-02-21
563,male,Alfredo Reyes,Watauga,1938-10-21
564,male,Nolan Shelley,Southfield,1974-06-17
565,male,Rosa Reza,Chicago,1996-06-09
566,female,Luz Holmes,Buffalo,1943-02-06
567,female,Jeanette Casper,Thomasville,1935-06-23
568,male,Margarita Kelly,Anaheim,1956-05-21
569,female,James Lebron,Greenwood,1950-07-31
570,female,Betty Xiong,New York,1972-01-22
571,female,Michelle Medlin,Minneapolis,1961-09-15
572,female,Megan Strader,Dayton,1939-10-30
573,female,Judy Johnson,San Francisco,1957-09-06
574,female,Richard Burkett,Huntsville,1968-07-14
575,female,Joseph Watson,Parma,2001-03-31
576,female,Sheila Franklin,Summum,1980-04-12
577,male,Lula Stamper,Meriden,1983-10-11
578,female,Carrie Lenard,Philadelphia,1968-06-05
579,female,Doyle Kott,Washington,1940-05-26
580,male,Clinton Bingham,Denver,1943-03-10
581,male,Don Porterfield,Fayetteville,1936-07-30
582,female,Douglas Morgan,Salt Lake City,1990-08-13
583,male,Roger Hurst,Mattoon,1943-02-02
584,male,Sheryl Mazzella,Seattle,1998-01-12
585,male,Glenn Ecker,Buffalo Grove,1941-10-31
586,male,George Vaughn,Hiseville,1944-05-09
587,male,Sandra Adair,New Haven,1969-04-29
588,male,Martha Pettyjohn,San Diego,1973-08-06
589,male,William Olson,Manilla,1950-11-23
590,male,Stephanie Nguyen,San Gabriel,1957-04-10
591,female,Johnson Hamer,Los Angeles,1956-10-16
592,male,Elias Sanchez,New Brunswick,1959-03-09
593,male,Jack Schulman,Rockland,1960-08-07
594,male,Mamie Wooten,New Castle,1940-05-11
595,male,Nick Cruz,Goshen,1984-09-10
596,female,Matthew Labbe,Tampa,1959-04-26
597,male,Richard Dobson,Rochelle Park,1969-12-24
598,male,Samantha Doner,Morristown,2000-06-09
599,male,Dora Smith,Pinellas,1991-05-24
600,male,Jordan Taylor,Rocky Mount,1958-02-01
601,female,Joyce Hayes,Detroit,1995-01-15
602,male,Richard Parker,Ida,1948-01-19
603,male,Sylvester Isaacs,Fairbanks,1980-04-05
604,female,Catherine Gilliam,Natchitoches,1936-11-20
605,male,Timothy Frawley,Norwood,1948-12-18
606,female,Daniel Davis,Tulsa,1963-11-26
607,male,Lee Stoffel,Cincinnati,1952-09-16
608,male,Cathy Odell,Tacoma,1998-07-14
609,male,Linda Sullivan,Waianae,1987-11-11
610,male,Jeremiah Maas,Hyattsville,1945-05-09
611,male,Brenda Hauser,Denver,1948-04-21
612,male,David Hoffman,Las Cruces,1964-06-29
613,male,Jaclyn Stallard,Pittsburgh,1973-03-23
614,female,Tina Willcox,Spotswood,1938-05-31
615,male,Rick Hawkins,Bettendorf,1986-02-09
616,male,Leo Young,Plano,1974-02-28
617,female,Robert Endo,Mansfield,1956-07-22
618,female,Albert Hall,Brentwood,1935-06-29
619,female,Lynn Mott,Edison,1940-01-07
620,male,Elisa White,Pine Bluff,1960-05-31
621,male,Pablo Corning,Knob Noster,1995-03-14
622,female,Mary Cooper,South Burlington,1958-05-03
623,male,Sylvester Vega,Vernon,1965-08-17
624,male,Marcus Dotson,West Newton,1990-10-11
625,female,Kenneth McCauley,Worthington,1945-07-07
626,male,Mary Monson,Sacramento,1945-07-09
627,female,Carey Moran,Fargo,1952-01-22
628,male,John Alvarado,Salinas,1949-10-16
629,female,Joan Willis,Hickory,1941-01-26
630,male,Kenneth Gaines,Montclair,1957-12-15
631,female,Robert Chambers,Santa Rosa,1938-03-13
632,male,Steven Pigford,Salt Lake City,1962-12-17
633,female,Barbara Hall,Fort Smith,1995-09-14
634,male,Robert Schrock,Roswell,1951-05-10
635,female,Johnny Moles,Irvine,1954-02-26
636,female,Lauren Tyler,Philadelphia,1967-10-15
637,male,Bert Joseph,Silverdale,1974-06-07
638,male,Adam Watkins,Dallas,1995-09-12
639,female,Gertrude Ebert,Mason City,1948-06-17
640,female,Leroy Chambers,Memphis,1934-11-27
641,male,Elizabeth Smith,Tempe,1979-08-14
642,female,Salvador Anderson,Kansas City,1935-03-20
643,female,Constance Young,Ocala,1975-02-27
644,female,Cathryn Barlow,Eau Claire,1965-10-30
645,female,Larry Brooks,Houston,1993-01-31
646,male,Margaret Wafford,New York,1997-11-14
647,male,John Satchell,Phoenix,1985-12-18
648,female,Sharon Woods,Charlottesville,1998-10-01
649,female,Viola Wright,Rego Park Queens,1946-01-21
650,female,Bessie Bayne,San Francisco,1974-01-24
651,male,Claire Gaither,Riesel,1958-01-31
652,male,Clarence Myers,Urbandale,1993-06-13
653,female,Harvey Hofer,Seattle,1973-01-12
654,female,Angel Wright,Dyer,1951-11-05
655,female,Frank Phelps,Bloomington,1972-07-21
656,male,Katrina Cruz,Vero Beach,2000-06-01
657,female,Suzie Leto,Hanover,1959-04-16
658,male,Trina Collier,Seattle,1964-04-15
659,male,Paul Burton,Saint Paul,1979-07-30
660,female,Mary Reeves,Worcester,1968-01-03
661,female,Brian Moreno,New York,1996-06-11
662,female,Doyle Dill,Plainville,1961-03-03
663,male,John Bates,Newark,1953-03-13
664,female,Helen Chapman,Onalaska,1942-11-04
665,male,Xiomara Marquez,Rochester,1995-09-12
666,male,Pauline Lewis,Louisville,1973-09-17
667,male,Jack Wallace,Dorchester,1988-06-05
668,female,James Morgan,Fair Oaks,1990-03-29
669,female,Judy Erickson,Pittsburgh,1968-07-19
670,male,Elizabeth Mahood,Burr Ridge,2000-11-28
671,male,Ann Reynolds,Arlington Heights,1965-04-24
672,male,Robert Beck,Palco,1973-06-25
673,female,Claudine Kephart,Double Bayou,1958-06-28
674,male,Stella Johnson,Detroit,1953-08-03
675,female,Tristan Marshall,Victoria,1979-08-30
676,female,Barbara Rouse,Pennsboro,1975-01-28
677,male,Gary Hoffman,Tallahassee,1947-03-29
678,female,Ruben Hernandez,Mayfield Heights,1982-10-30
679,female,Andria Loya,Jackson,1990-12-19
680,female,William Magoon,Northridge,1967-03-06
681,female,Blair Boone,Newark,1998-02-14
682,female,Michael Allen,Indianapolis,1949-02-07
683,female,Larry Marks,Tampa,1978-09-26
684,male,Stephanie Gates,Houston,1961-02-08
685,male,Shannon Sullivan,Grand Rapids,1975-12-30
686,male,Michael Garcia,Vicco,1958-12-14
687,female,Ronald Blazek,Milwaukee,1944-11-21
688,male,William Massey,Waynesboro,1958-07-12
689,female,Margaret Austin,Birmingham,1995-05-31
690,female,Paul Bernhardt,Quincy,1992-01-06
691,male,Charles Spencer,Saint Paul,1998-02-06
692,male,Kathryn Queen,Hampton,1952-06-17
693,female,Kristen Thomson,Grass Valley,1947-09-06
694,male,Judy Hamilton,Jackson,1945-05-01
695,male,Jerry Pedersen,San Carlos,1954-09-20
696,female,Chrystal Mendoza,Austin,1942-08-03
697,male,Mary Freeze,Los Angeles,1996-07-02
698,female,Christine Hale,Humboldt,1937-01-13
699,male,Yasmin Miller,Pittsburgh,1979-11-01
700,female,Mary Blevins,Mcallen,1988-01-31
701,male,Annette Brown,Terre Haute,1981-05-13
702,female,Cecelia Orlando,Marissa,1935-04-02
703,male,Alica Nasser,Plantation,1990-02-05
704,female,Sherri Howland,Dover,1991-04-11
705,female,Jeff Robinson,San Diego,1989-06-11
706,male,Stephanie Baeza,Rochelle Park,1957-04-01
707,male,Charles Horan,Hickory Hills,1976-06-10
708,female,Jerry Moultrie,Parsippany,1935-08-05
709,female,Glen Brungardt,Allentown,1993-03-28
710,male,Stanton Hood,Tucker,1937-12-01
711,female,Charlene Pruitt,Mcclung,1998-04-08
712,male,John Mueller,New Haven,1966-09-22
713,female,Christopher Lowery,Orange,1988-09-03
714,male,Deanna Carroll,Los Angeles,1972-12-12
715,female,Richard King,Greenwich,1979-09-30
716,female,Richard Youngblood,Detroit,2001-04-27
717,female,Sandra Childress,Washington,1996-09-14
718,male,Jennifer Douglas,Montgomery,1948-04-16
719,male,Joe Beaty,Gilroy,1956-03-28
720,female,Lynda Shephard,Huntsville,1964-12-03
721,female,Tyler Jennings,Las Vegas,1949-02-20
722,female,Kenneth Constant,Los Angeles,1958-05-02
723,male,Chris Allen,Statesboro,1943-04-10
724,male,Robert Earnhardt,Orlando,1985-11-10
725,male,Raylene Reel,Boston,1975-04-18
726,male,Wayne Emmons,Hoffman,1988-07-10
727,male,Flora Cardenas,Cleveland,1965-05-07
728,female,Steven Houston,Two Buttes,1942-10-31
729,male,Paul Campbell,Kirkland,1999-01-05
730,female,Enrique Kirk,Yonkers,1939-06-11
731,male,Diane Smith,Los Angeles,1974-12-09
732,female,Chris Shaner,Nashville,1980-11-04
733,male,Laurence Petersen,Bowling Green,1974-12-03
734,female,Lewis Stewart,Lexington,1952-01-27
735,female,Michael Andersen,Houston,1984-05-13
736,male,Floyd Stevens,Bolton,1984-02-04
737,male,Michael Roemer,Sugar Land,1950-12-13
738,male,Keith Saunders,Garfield Heights,1960-07-11
739,female,Edgar Garmon,Jacksonville,1981-04-01
740,female,Samuel Mullins,Traverse City,1936-05-09
741,female,Byron Derr,Xenia,1940-02-23
742,female,Leonard Hruska,Burbank,1950-03-15
743,female,Michael Richardson,San Diego,1948-10-12
744,female,Kristi Cogdill,Portland,1976-07-10
745,female,Nathan Powers,San Diego,1961-08-14
746,male,Joshua Deegan,Port Huron,1963-04-29
747,female,Jack Griffin,Detroit,1986-10-18
748,female,Tara Bakker,Fort Payne,1955-10-10
749,female,Sara Williams,Martinsville,1936-05-17
750,male,Mark Johnson,Saint Louis,2001-03-26
751,female,Oscar James,Sacramento,1976-05-16
752,female,David Guerro,Mattoon,1977-05-22
753,female,Lacy Molina,San Francisco,1959-09-22
754,female,Vicki Wheeler,Greensboro,1966-12-30
755,male,Brenda Crosslin,Amble,1990-11-07
756,female,Elizabeth Jones,Lexington,1957-03-24
757,male,Leslie Bing,Garfield Heights,1956-12-09
758,male,Dora Pierce,Virginia Beach,1960-05-26
759,male,Nancy Mercado,Upper Arlington,1983-05-01
760,male,John Lopez,Eagleville,1993-06-23
761,female,William Byers,Hartford,1990-02-07
762,female,Victoria Escobar,Dallas,1975-07-06
763,female,Andrea Wood,Fort Myers,1980-05-16
764,male,Melissa Taylor,Gibsonia,1991-10-10
765,male,George Peoples,Jacksonville,1954-06-24
766,female,Diane Ramos,Euless,1968-06-27
767,female,Daniel Edwards,Elkin,1963-03-09
768,male,Cathy Blackman,San Francisco,1996-01-30
769,male,Marshall McLean,Tempe,1991-02-18
770,male,John Terrill,Fort Valley,1945-06-17
771,female,James Surratt,Miami,1991-03-27
772,female,Oscar Janssen,San Diego,1971-05-11
773,male,Elizabeth Rivers,Scottsdale,1937-01-24
774,male,Andre Daniel,Philadelphia,1978-07-17
775,female,Luke Darlington,New York,1985-07-21
776,male,Roberto Bolden,Lake Charles,1956-11-04
777,female,Gwen Dupuis,Victoria,1938-03-21
778,female,Sandra Griffin,San Angelo,1966-07-15
779,female,Luis Edwards,River Falls,1988-04-18
780,female,Chelsea Garcia,Los Angeles,1991-12-12
781,male,Morris Peterson,Roanoke,1983-09-11
782,male,David Jones,Saint Johns,1966-05-23
783,male,Annetta Ortiz,Fort Washington,1957-09-05
784,male,Jessie Williams,Stamford,1989-09-21
785,male,Alex Moreno,Saint Cloud,1935-03-21
786,female,Donald Perez,Fort Wayne,1960-12-24
787,female,Stephanie Martino,Buford,1995-04-09
788,male,Terri Phipps,Southfield,1936-08-28
789,male,Cherryl Galli,Dublin,1975-08-22
790,male,John Holman,Longview,1956-06-18
791,male,Regina Fay,Greenville,1963-10-19
792,male,Michael Young,Birmingham,1937-05-12
793,female,Margaret Cline,Cambridge,1998-04-27
794,female,William Taulbee,New York,1965-06-04
795,female,Kelly O'Connor,Evansville,1978-02-25
796,female,Austin McConnell,San Luis Obispo,1946-06-29
797,male,Kevin Nicholson,Dallas,1976-04-09
798,male,Adolfo Andersen,Pittsburgh,1956-06-07
799,female,Carlita Stamps,Philadelphia,1940-06-24
800,female,Cara Newman,Pomona,1999-12-01
801,male,Sherry Green,Albany,1998-12-09
802,male,Raymond Handley,Seattle,1976-04-09
803,female,Joshua Dennis,Jesup,1986-05-28
804,female,Kathleen Leite,Springfield,1978-01-11
805,female,Joan Smith,New York,1995-01-10
806,male,Arthur Villalba,Gainesville,1939-10-22
807,male,Claire Freed,Los Angeles,1954-09-30
808,male,Ronald Sheffield,New Berlin,1966-07-28
809,female,Gilbert Dial,Hiawatha,2000-09-30
810,female,Amy Harrison,Colorado Springs,1977-01-01
811,male,Wilford Milligan,Reno,1989-04-08
812,male,Brett Smith,Topeka,1962-08-27
813,male,Brian Claborn,Pittsburgh,1951-07-17
814,female,Maria Bullard,Eaton,1971-08-04
815,female,Ethan Brennan,Paris,1996-07-15
816,female,Amanda Matteson,Louisville,1961-03-21
817,female,Robert Welsh,Chambersburg,1968-07-27
818,female,Louise Routh,Fairbanks,1972-08-06
819,male,Brandi Samuelson,El Dorado,1935-03-06
820,male,Thomas Harbison,Worcester,1989-05-29
821,male,Larry Price,Mousie,1971-12-11
822,male,James Mays,Dallas,1946-05-05
823,male,Delicia Malcom,Clarissa,1951-10-10
824,female,Felix Richardson,Portland,1969-02-28
825,male,Peter Henderson,Cincinnati,1946-09-24
826,female,Cody Lewis,Crafton,1989-02-21
827,male,Robert Cervantes,Winter Garden,1980-07-23
828,female,Rowena Duke,Columbia,1990-02-11
829,female,Lane Tanaka,Reston,2000-07-30
830,female,Wanda Green,San Diego,1984-09-13
831,male,Steven Koller,Toledo,1936-01-02
832,female,Eddie Manrique,San Diego,1941-07-12
833,female,Tracey Patterson,Nehalem,1943-06-28
834,female,Victor Webber,Dublin,1993-08-05
835,male,John Briggs,Chicago,1973-01-14
836,male,Charles Berg,Towson,1994-12-27
837,female,Daniel Cole,Seattle,1954-02-11
838,female,Michael Worsham,Louisville,1940-06-03
839,male,Amanda Cavanaugh,South Gate,1990-11-26
840,female,Christian White,Providence,1994-09-29
841,male,Carl Garcia,New York,1999-03-20
842,male,Rose Cruz,Dayton,1967-10-14
843,female,Delia Lane,Mountain View,1938-11-03
844,female,Mabel Mueller,Peculiar,1977-04-17
845,female,Agnes Thomas,Cambridge,1974-01-24
846,male,Patricia Shumake,Anniston,2000-06-16
847,male,Wesley Hinkle,Brattleboro,1980-01-01
848,female,Ralph William,Houston,1939-10-22
849,male,Ruth Bingham,Rome,1975-08-31
850,female,Charles Marshall,Philadelphia,1994-05-05
851,female,Keisha Baker,Allen,1957-11-20
852,female,Travis Boyd,Pontiac,1964-12-16
853,female,Mark Strohl,Philadelphia,1991-01-11
854,female,Judith Ramos,Little Rock,1954-02-12
855,male,Antoine Baker,Gilbert,1978-12-08
856,male,Lewis Hawkins,Savage,1956-07-18
857,female,Jesse Steele,Springfield,1988-10-29
858,female,Roy Hansen,Seymour,1960-11-15
859,female,Gregory Cloyd,Birdsboro,1979-06-28
860,male,Sherri Haile,Rochester,1964-06-09
861,male,Leona Hurst,Henryville,1988-05-18
862,male,Mollie Branch,Wheeling,1953-11-27
863,male,Larry Elmer,Macon,1998-01-11
864,female,Evelyn Bryson,Cary,1951-09-23
865,male,Gigi Cuyler,Beverly Hills,1974-10-28
866,male,Dina Vath,Bedford,1961-04-04
867,male,Margy Shoaf,Circleville,2001-03-26
868,male,William Weller,Arlington,1999-09-04
869,female,Rose Massey,Pine Bluff,1996-02-14
870,female,Ruby Kendrick,Marietta,1961-03-04
871,female,Judith Jackman,Providence,1967-03-15
872,male,John Huffman,Deerfield,2000-02-04
873,female,Chad Johnson,San Antonio,1989-01-17
874,male,Brian Canada,Chicago,1991-04-18
875,male,Dean Cruz,Monticello,1954-03-27
876,male,Richard Delong,Chicago,1984-01-11
877,male,Juan Jenkins,Charleston,1958-10-30
878,female,Rhonda Shultz,New York,1969-08-09
879,female,Robert Staton,Los Angeles,1958-01-03
880,female,Steven Sargent,Cambridge,1975-10-14
881,male,Tyson Gutierrez,West Allis,1937-03-07
882,male,Justin Ford,Tampa,1949-06-14
883,male,Tina Tyler,Cleveland,1997-04-19
884,male,Stephanie Henry,Baltimore,1958-12-03
885,female,William Mitchell,La Grange (Dutchess),1957-12-10
886,female,Gwendolyn Lebo,Lansing,1940-11-20
887,female,Christina Vargas,Livonia,1969-11-19
888,male,Gladys Hammer,Nashville,1951-08-04
889,female,Jerry Utter,Chicago,1999-07-09
890,male,Bonnie Cacho,Cincinnati,1969-10-02
891,female,Erma Sampson,Houston,1968-08-15
892,male,Ruth Clayton,Wood Dale,1939-10-17
893,female,Jackson Ramos,Fresno,1992-01-21
894,female,Brenda Stark,Los Angeles,1946-06-16
895,male,Robert Foster,Quincy,1953-01-27
896,female,John Greene,New York,1940-01-07
897,male,Violet Sadler,Panama City,1974-02-16
898,female,Margaret Butler,Vandergrift,1998-06-30
899,female,Arthur Ladner,Eunice,2001-02-14
900,male,Justin Kirby,Needham,1964-07-08
901,female,Mary Holmes,Gilbert,1974-06-02
902,male,James Hubbard,Saint Louis,1950-01-06
903,female,Edmond Johnson,Midlothian,1957-06-10
904,female,Mary Brown,Newport News,1948-03-12
905,female,Gayle Ridgway,New Smyrna Beach,2000-06-04
906,female,Lynn Garrison,Decatur,1986-08-26
907,female,Douglas Smith,Birmingham,1946-03-17
908,male,Dale Crawford,Lawrence,1955-05-17
909,female,Sharon Hughes,Kihei,1978-10-11
910,female,Cristin Sanford,Parsippany,1939-10-09
911,female,Robert Cruz,Sagamore,1989-12-14
912,female,Wendy Wilcox,North Highlands,1987-12-17
913,female,Mary Plott,Westbury,1993-12-10
914,female,Shirley Moran,Tupelo,1956-04-28
915,female,Mark Alexander,Fresno,1950-11-11
916,male,Alexander Vail,Eugene,1987-05-22
917,female,Glen Goff,Knoxville,1967-07-01
918,male,James Elliott,Huntsville,1986-09-19
919,male,Mona Richard,Southfield,1993-01-18
920,male,Irene Lymon,New York,1946-06-29
921,female,Robyn White,Sulphur Springs,1937-08-04
922,male,Wayne Crichton,Arlington Heights,1981-12-29
923,male,Stephen Hughes,Waukesha,1949-08-18
924,male,Caroline Dolly,Egg Harbor,1943-08-24
925,female,George Wilburn,Mile Marker 102,1942-11-13
926,female,Katrina Brouillard,Kenner,2000-12-04
927,male,Bernard Barnett,Milton Mills,1940-11-06
928,female,Andrew O'Neill,Santa Cruz,1959-01-03
929,male,Lee Ewen,Wallingford,1969-05-16
930,female,George Gomez,Cocoa,1993-09-22
931,male,Wanda Reynolds,Carlislerg,1975-01-09
932,female,Gail Porter,Athens,1990-11-18
933,male,Margaret Kennedy,San Francisco,1970-07-24
934,male,Carlos Chrisman,Tacoma,1993-08-15
935,female,Jennifer Johnson,Grand Rapids,1982-08-03
936,female,Tomas Hensley,South Plainfield,1939-02-03
937,female,Dawn Brown,Tucson,1950-12-24
938,male,Mellissa Garcia,Milwaukee,1948-04-30
939,female,Teresa Lewis,Rutherford,1937-09-15
940,female,Martha Berkley,Towson,1987-05-05
941,male,William Wall,Hellertown,1952-06-06
942,female,Melissa Dunavant,Walla Walla,1956-01-19
943,female,Winifred Myers,Gloucester City,1992-10-02
944,female,Ethel Calkins,Vineland,1956-02-19
945,male,Marcus Richard,Beckley,1969-09-16
946,female,Sarah Alcazar,Holley,1943-06-04
947,male,Margie Slate,Pittston,1974-03-14
948,male,David Roberts,Los Angeles,1978-10-18
949,female,Michael Hardy,North St Paul,1969-06-24
950,female,Donald McAllister,Atlanta,1968-09-08
951,female,Garland Lay,Stillwater,1937-10-10
952,female,Lorrie Washington,Columbia,1977-07-09
953,female,Madeleine Searcy,Peerless,1974-01-18
954,male,Whitney Kramer,Collegeville,1935-01-31
955,male,Natalia Pike,Burlington,1993-10-15
956,male,Carolyn Perry,Houston,1992-11-03
957,male,Debbie Chandler,Roswell,1994-02-18
958,male,James Secrist,Jacksonville Beach,1989-07-18
959,male,David Thompson,Winchester,1984-02-18
960,male,Franklin Reynolds,Oakland,1976-05-08
961,female,Louis Woodruff,Clinton,1951-10-07
962,female,John Sandidge,Bensenville,1952-02-21
963,male,Jose Cheatwood,Las Vegas,1971-12-22
964,male,Bernadette Crutchfield,Metairie,1948-04-23
965,male,Maria Boden,Greenville,1993-08-14
966,male,Aura Carney,Jordan,1987-04-23
967,female,Troy Whittaker,Longview,1991-08-30
968,female,Marjorie Powell,Fort Lauderdale,1938-11-14
969,female,Margaret Hill,Andrews,1943-08-12
970,female,John Thompson,Troy,2000-01-01
971,female,Brenda Busse,Plant City,1989-05-26
972,male,Kristi Turner,Portland,1989-05-18
973,male,Mona Degen,Baltimore,1997-11-24
974,male,Allen Allen,Saint Louis,1991-09-27
975,female,Pamela Cogdill,Branchburg,1999-06-19
976,male,Felecia Smith,Waipahu,1940-07-23
977,male,Jon Dickson,Ennis,1971-03-11
978,female,Minnie Blackwell,Baton Rouge,1967-05-12
979,female,Denise Hess,Waynesboro,1976-05-23
980,female,Sheila Morin,Atlanta,1995-10-08
981,female,Tyler McClellan,Brownwood,1953-05-27
982,female,Kenneth Prada,Atlanta,1950-09-09
983,male,Paul George,Pueblo,1935-08-07
984,male,Brian Thorn,Midlands,1949-12-07
985,female,Ronald Crow,Ardmore,1989-07-05
986,male,Mary Taylor,Houston,1993-02-24
987,female,Roxanne Wilson,Dallas,2000-01-31
988,female,Sharon West,Omaha,1950-02-24
989,female,Trudy Stingley,Fayetteville,1945-10-14
990,female,Michael Kelley,Montgomery,1976-01-08
991,male,Christine Childress,Elk Grove Village,1963-11-03
992,male,Louis Dunlop,Manchester,1957-11-19
993,female,Mary Harkins,Hueytown,1959-08-08
994,female,Vicki Kisner,Friday Harbor,1953-04-24
995,male,Janna Carden,Greensboro,1974-07-28
996,male,Anthony Miller,Winterville,1979-12-22
997,male,Erica Scheuerman,Villas,1961-03-03
998,male,Tommy Lake,Smyrna,1938-08-04
999,male,Chet Pitts,Shreveport,1935-06-24
1000,male,Barbara Goodwin,Hillsboro,1976-04-24
1001,female,Kirk Brooks,Anaheim,1990-07-11
1002,female,Michele Stone,Norwich,2000-01-26
1003,female,Harold Strickland,Duluth,1952-10-08
1004,male,Larry Bradley,Tucker,1969-12-08
1005,female,Scott Horne,Clifton,1993-05-14
1006,male,Willie Robinson,Childress,1952-06-21
1007,female,Loretta Thayer,Arlington Heights,1981-09-04
1008,male,Diane Herman,Massena,1997-12-07
1009,female,Ashleigh Lindberg,Roseville,1963-02-13
1010,female,Gregory Garrett,Fargo,1976-09-20
1011,male,Robin Grant,Phoenix,1967-01-23
1012,female,Anthony Hart,Mountain View,1991-06-06
1013,male,Pricilla Palko,Beverly Hills,1969-04-02
1014,female,Mary Ryan,Kaunakakai,1944-11-22
1015,female,Robert Petersen,Marshall,1966-10-29
1016,male,Luz Little,Worthington,1937-12-27
1017,male,Robert Smith,Tigard,1963-11-22
1018,female,Michael Beasley,Worcester,1977-12-04
1019,male,Carol Gagnon,Beltsville,1975-10-19
1020,female,Andrew Epperson,Uniontown,1937-04-03
1021,male,Myron Martin,Jackson,1997-04-30
1022,male,Harold Palmer,Eau Claire,1955-01-15
1023,female,Janell Cruz,Hale Center,1963-09-20
1024,female,Jeffery Thomas,Conway,1950-10-10
1025,female,Barry Oppenheim,Roanoke,1957-06-18
1026,female,Samuel Martin,Silver Lake,1990-08-29
1027,female,Anthony Maxey,Minneapolis,1944-02-07
1028,male,Roxann Akins,Columbia,2000-11-08
1029,female,Demetria Soto,New Orleans,1962-10-22
1030,female,Mary Brown,Newport News,1965-09-16
1031,male,Karen Springer,Sanford,1945-03-23
1032,female,Adrianne Carter,Mattoon,1962-02-06
1033,male,Bertha Love,Paramount,1973-09-26
1034,female,Joe Post,Orlando,1946-05-02
1035,male,Donald Strange,Orchards,1975-09-21
1036,male,Lonnie Mathes,Jensen Beach,1957-08-28
1037,male,Johnny Faulkner,Cincinnati,1936-03-05
1038,female,Elise Morey,Orlando,1962-08-04
1039,male,Erica Orcutt,Southfield,1989-07-16
1040,female,Loretta Mowrey,Dayton,1981-09-23
1041,female,Martin Atkins,Baton Rouge,1946-01-10
1042,male,Patricia Kennamer,Fairfield,1964-08-15
1043,female,Janet Mease,Jacksonville,1949-06-17
1044,male,Edward Rossi,Raleigh,1979-04-28
1045,female,Isabelle Lemen,Dover,1949-06-21
1046,male,Denise Martel,Groveland,1956-10-19
1047,female,Diane Gaskins,Gardena,1998-09-25
1048,male,Stacy Smallwood,West Palm Beach,1949-07-25
1049,male,David Woods,New York,1994-01-30
1050,male,Johnnie Larsen,Brimson,1936-09-12
1051,female,Mary Anderson,Rochester,1962-04-27
1052,female,Valeria Cruz,Grand Rapids,1958-05-15
1053,male,William Reyes,Toledo,1955-10-25
1054,male,Phillip Olsen,Bryan,1953-12-09
1055,male,Roxana Little,Tigard,1966-11-19
1056,female,Tessa Pugliese,Milwaukee,1957-11-24
1057,male,Jerry Rotella,La Puente,1983-06-19
1058,female,Ignacia Angulo,Dulce,1965-12-13
1059,male,Danny Scott,Halma,1971-03-09
1060,female,Larry Menges,Fort Myers,1993-12-29
1061,male,Betty Klein,Sunnyvale,1938-01-03
1062,female,Sarah Monico,Burlington,1945-01-04
1063,female,Frederick Willman,New York,1977-11-26
1064,female,William Johnson,St George,1984-05-26
1065,male,Samuel Plummer,Little Rock,1980-12-28
1066,female,Aaron Worthley,Chesterfield,1991-07-03
1067,male,Phillip Trujillo,Scottsdale,1936-01-25
1068,male,James Gracey,Denver,1994-04-29
1069,male,Eric Daly,Northglenn,1971-12-26
1070,female,Robert Hill,Champaign,1973-07-26
1071,female,Jo Salas,Grand Rapids,1980-03-07
1072,female,Hazel Collum,St Ignatius,1974-12-18
1073,female,William Pickerel,Coulee City,1991-09-01
1074,female,Mary Puente,Tacoma,1950-12-29
1075,female,Bettina Arguelles,Dorset,1974-10-02
1076,female,Mary Delgado,Wright,1964-11-25
1077,female,Mauricio Derrick,Pocatello,1958-10-12
1078,male,Douglas Zamora,Garfield Heights,1976-01-08
1079,female,Neil McCain,Youngstown,1980-02-29
1080,female,Kristen Alden,Curlew,1983-04-27
1081,male,Daniel Gray,Richmond,1982-02-20
1082,male,Joe Turner,Eau Claire,1958-06-12
1083,female,Heather Dube,Mansfield,1946-07-14
1084,male,Terry Kelly,Lenexa,2001-04-14
1085,male,Roger Callihan,Chilhowee,1983-02-06
1086,male,Mary Fisher,Washington,1940-08-01
1087,male,Robert Lerner,Davenport,1984-02-25
1088,male,Laura Lund,Salt Lake City,1983-05-16
1089,male,Mary Sizemore,Culver City,1971-10-05
1090,male,Sharon Devries,Bangor,2000-09-27
1091,male,Helen Waugh,Lewisville,1945-01-16
1092,male,Latoyia Beverly,Etna,1945-07-15
1093,female,Anthony Watts,Grand Island,1992-12-25
1094,male,Javier Huff,Louisville,1997-10-24
1095,female,Mike Honda,Denham Springs,1964-04-29
1096,male,Margaret Reif,Brooklyn,1944-11-28
1097,male,Sara Sigler,Sacramento,1951-02-23
1098,female,William Cook,Phoenix,1997-12-01
1099,male,David Santiago,Pittsburgh,1991-04-21
1100,male,Sandra Newsom,Texas City,1986-10-07
1101,male,Robert Perry,Pensacola,1991-09-29
1102,female,Cory Bueno,Little Rock,1984-05-25
1103,female,Susan Marshall,South Boston,1999-06-03
1104,male,Lynette Obrien,Bridgeville,1977-12-01
1105,male,John Malcolm,Jacksonville,1935-11-02
1106,female,Brian Taylor,Arlington Heights,1938-12-22
1107,male,Jeffrey Gurule,Tukwila,1938-08-03
1108,female,Eugene Davis,Loveland,1975-05-10
1109,female,Steven Matherly,Lombard,1990-11-11
